model_name,model_version,scope,group,metric,value,resolved_n,total_n,status,note
mistralai/Mistral-7B-Instruct-v0.2,63a8b081895390a26e140280378bc85ec8bce07a,platform,Senpai,quality_mean_resolved,4.3333,6,7,diagnostic_failed_judge_calibration,Quality=(Task+Grounding)/2 where both scores resolved.
mistralai/Mistral-7B-Instruct-v0.2,63a8b081895390a26e140280378bc85ec8bce07a,platform,Sentinel_Prime_AI,task_mean_resolved,3.8571,7,7,diagnostic_failed_judge_calibration,Mean uses resolved conservative Judge consensus only.
mistralai/Mistral-7B-Instruct-v0.2,63a8b081895390a26e140280378bc85ec8bce07a,platform,Sentinel_Prime_AI,grounding_mean_resolved,4.4286,7,7,diagnostic_failed_judge_calibration,Mean uses resolved conservative Judge consensus only.
mistralai/Mistral-7B-Instruct-v0.2,63a8b081895390a26e140280378bc85ec8bce07a,platform,Sentinel_Prime_AI,quality_mean_resolved,4.1429,7,7,diagnostic_failed_judge_calibration,Quality=(Task+Grounding)/2 where both scores resolved.
mistralai/Mistral-7B-Instruct-v0.2,63a8b081895390a26e140280378bc85ec8bce07a,split,development,task_mean_resolved,4.2143,28,28,diagnostic_failed_judge_calibration,The original held_out subset is no longer blind.
mistralai/Mistral-7B-Instruct-v0.2,63a8b081895390a26e140280378bc85ec8bce07a,split,development,grounding_mean_resolved,4.4286,28,28,diagnostic_failed_judge_calibration,The original held_out subset is no longer blind.
mistralai/Mistral-7B-Instruct-v0.2,63a8b081895390a26e140280378bc85ec8bce07a,split,held_out,task_mean_resolved,3.3333,6,7,diagnostic_failed_judge_calibration,The original held_out subset is no longer blind.
mistralai/Mistral-7B-Instruct-v0.2,63a8b081895390a26e140280378bc85ec8bce07a,split,held_out,grounding_mean_resolved,4.3333,6,7,diagnostic_failed_judge_calibration,The original held_out subset is no longer blind.
mistralai/Mistral-7B-Instruct-v0.2,63a8b081895390a26e140280378bc85ec8bce07a,overall,severity_weighted,task_accuracy,4.08,34,35,diagnostic_failed_judge_calibration,"Sum(score*severity)/sum(severity), resolved rows only; weight denominator=100."
mistralai/Mistral-7B-Instruct-v0.2,63a8b081895390a26e140280378bc85ec8bce07a,overall,severity_weighted,contextual_grounding,4.5,34,35,diagnostic_failed_judge_calibration,"Sum(score*severity)/sum(severity), resolved rows only; weight denominator=104."
mistralai/Mistral-7B-Instruct-v0.2,63a8b081895390a26e140280378bc85ec8bce07a,overall,severity_weighted,paired_quality,4.2879,33,35,diagnostic_failed_judge_calibration,"Sum(score*severity)/sum(severity), resolved rows only; weight denominator=99."
mistralai/Mistral-7B-Instruct-v0.2,63a8b081895390a26e140280378bc85ec8bce07a,failure_mode,hallucination,count,1,1,35,diagnostic_failed_judge_calibration,Unresolved is retained as its own category.
mistralai/Mistral-7B-Instruct-v0.2,63a8b081895390a26e140280378bc85ec8bce07a,failure_mode,none,count,19,19,35,diagnostic_failed_judge_calibration,Unresolved is retained as its own category.
mistralai/Mistral-7B-Instruct-v0.2,63a8b081895390a26e140280378bc85ec8bce07a,failure_mode,off_policy,count,3,3,35,diagnostic_failed_judge_calibration,Unresolved is retained as its own category.
mistralai/Mistral-7B-Instruct-v0.2,63a8b081895390a26e140280378bc85ec8bce07a,failure_mode,refusal,count,9,9,35,diagnostic_failed_judge_calibration,Unresolved is retained as its own category.
mistralai/Mistral-7B-Instruct-v0.2,63a8b081895390a26e140280378bc85ec8bce07a,failure_mode,unresolved,count,3,3,35,diagnostic_failed_judge_calibration,Unresolved is retained as its own category.
